date,steps,distance,runDistance,calories
2022-08-25,13536,10349,52,359
2022-08-26,18402,13976,227,487
2022-08-27,7329,5286,241,186
2022-08-28,11734,8807,234,308
2022-08-29,8074,5983,223,211
2022-08-30,14665,10772,239,378
2022-08-31,16055,12162,241,429
2022-09-01,14895,10741,248,372
2022-09-02,11819,8768,228,298
2022-09-03,10229,7701,154,269
2022-09-04,10927,8170,205,289
2022-09-05,16199,11881,401,406
2022-09-06,18503,13537,406,475
2022-09-07,18357,13392,364,470
2022-09-08,7299,5229,222,187
2022-09-09,15343,11545,238,399
2022-09-10,15657,11656,328,397
2022-09-11,15465,11838,263,418
2022-09-12,16377,12108,333,415
2022-09-13,12627,9340,322,322
2022-09-14,18965,13995,409,473
2022-09-15,12790,9242,506,325
2022-09-16,7265,5382,224,184
2022-09-17,7984,6008,161,206
2022-09-18,7471,5450,205,193
2022-09-19,11953,8831,333,305
2022-09-20,12346,9095,437,312
2022-09-21,11907,8648,211,294
2022-09-22,13424,9952,349,346
2022-09-23,24288,18324,316,635
2022-09-24,11392,8691,197,302
2022-09-25,10483,7914,251,284
2022-09-26,9998,7547,343,260
2022-09-27,12086,8925,323,311
2022-09-28,18560,13821,335,476
2022-09-29,12728,9373,295,331
2022-09-30,13394,9972,297,346
2022-10-01,9403,6948,252,240
2022-10-02,5296,3890,222,138
2022-10-03,16120,12203,300,417
2022-10-04,11200,8433,530,292
2022-10-05,20532,15604,357,527
2022-10-06,12723,9495,200,328
2022-10-07,8720,6412,291,219
2022-10-08,9690,7225,178,248
2022-10-09,3676,2675,205,104
2022-10-10,11924,8755,297,299
2022-10-11,16128,11746,354,416
2022-10-12,5947,4337,389,150
2022-10-13,12420,9304,319,317
2022-10-14,6301,4469,353,165
2022-10-15,12688,9299,603,317
2022-10-16,3967,2805,289,99
2022-10-17,11088,8227,326,289
2022-10-18,7983,5851,226,210
2022-10-19,13758,10345,291,354
2022-10-20,8333,6065,352,205
2022-10-21,9474,7285,215,253
2022-10-22,9259,6931,338,243
2022-10-23,12735,9683,309,342
2022-10-24,4185,2980,211,104
2022-10-25,7589,5699,243,197
2022-10-26,10554,7678,473,265
2022-10-27,9050,6569,353,230
2022-10-28,5811,4139,325,145
2022-10-29,12975,9438,514,323
2022-10-30,11637,8573,233,300
2022-10-31,7122,5031,393,178
2022-11-01,1569,1070,239,45
2022-11-02,12061,8958,401,308
2022-11-03,7666,5735,218,204
2022-11-04,6950,4888,337,168
2022-11-05,7165,5323,247,187
2022-11-06,13610,9958,279,343
2022-11-07,8499,6254,324,221
2022-11-08,4012,2913,226,106
2022-11-09,9862,7382,387,257
2022-11-10,5883,4182,314,144
2022-11-11,5947,4445,254,156
2022-11-12,11326,8188,365,273
2022-11-13,4229,3080,345,112
2022-11-14,11737,8674,400,293
2022-11-15,12574,9206,304,320
2022-11-16,10268,7483,290,261
2022-11-17,9099,6717,205,232
2022-11-18,6743,4825,276,160
2022-11-19,1905,1296,200,48
2022-11-20,6267,4479,208,158
2022-11-21,7150,5304,193,182
2022-11-22,17927,13480,350,448
2022-11-23,9926,7314,295,254
2022-11-24,6598,4938,265,171
2022-11-25,6568,4993,178,172
2022-11-26,8239,6062,348,213
2022-11-27,5839,4472,142,158
2022-11-28,10661,7769,293,266
2022-11-29,8659,6148,446,207
2022-11-30,10519,7933,246,275
2022-12-01,15449,11507,301,397
2022-12-02,9378,6668,327,224
2022-12-03,6497,4623,222,159
2022-12-04,2914,2128,171,78
2022-12-05,13531,9820,400,327
2022-12-06,7459,5469,367,186
2022-12-07,15127,11275,366,389
2022-12-08,14737,10882,373,367
2022-12-09,2835,1996,306,75
2022-12-10,18817,14064,379,474
2022-12-11,7552,5418,235,178
2022-12-12,9182,6654,282,220
2022-12-13,11615,8581,377,294
2022-12-14,5330,3815,244,131
2022-12-15,7238,5352,406,186
2022-12-16,9678,6989,425,231
2022-12-17,4939,3555,252,124
2022-12-18,9720,7344,312,259
2022-12-19,8070,6058,260,210
2022-12-20,5757,4157,278,139
2022-12-21,10314,7605,304,259
2022-12-22,6301,4542,303,151
2022-12-23,13729,10053,511,343
2022-12-24,5902,4169,224,138
2022-12-25,2743,1866,209,70
2022-12-26,4291,3054,316,106
2022-12-27,3570,2603,184,98
2022-12-28,8022,5608,316,184
2022-12-29,7562,5546,330,192
2022-12-30,9882,6954,500,226
2022-12-31,6970,5120,194,175
2023-01-01,8642,6489,289,235
2023-01-02,10712,7896,321,263
2023-01-03,11912,8542,336,280
2023-01-04,10790,7924,243,262
2023-01-05,8025,6063,200,214
2023-01-06,4201,2984,277,106
2023-01-07,7625,5725,236,204
2023-01-08,4630,3299,248,116
2023-01-09,7804,5832,279,199
2023-01-10,6675,4736,216,158
